uri,acousticness,valence,danceability,energy,key,instrumentalness,liveness,loudness,speechiness,tempo,duration_ms,mood
spotify:track:4l94386YhnCzduk44xzFRx,0.00594,0.393,0.547,0.848,2,0,0.0743,-5.622,0.068,128.987,170960,happy
spotify:track:0efT4YKQLQx2YHbp6vgRX8,0.427,0.58,0.446,0.533,7,3.26E-06,0.332,-5.955,0.046,183.81,222813,happy
spotify:track:3JeT6Xcv6MlEHHylk8SKQ1,0.68,0.427,0.558,0.47,7,0.914,0.532,-5.5,0.0316,118.06,238640,happy
spotify:track:3eeIdvZqXaffY0yVRgbGfQ,0.118,0.909,0.625,0.736,1,0,0.167,-8.658,0.0325,105.529,188453,happy
spotify:track:0KlO835SZ6WZKHKsaCtqSh,0.751,0.747,0.388,0.59,6,0,0.25,-7.173,0.0565,155.208,133477,happy
spotify:track:0qau061S9oIy7S5xHruwHA,0.327,0.757,0.484,0.869,9,0.000132,0.112,-3.778,0.0322,125.63,195160,happy
spotify:track:0PHm9MrfZdEUasfd1XC0n2,0.0695,0.443,0.46,0.825,0,1.52E-05,0.337,-5.203,0.031,100.137,228587,happy
spotify:track:1hWQvA6oGVJ2mAVsZ59AaV,0.267,0.128,0.699,0.579,1,0.00602,0.452,-6.504,0.0416,109.948,247613,happy
spotify:track:2Tw3UUkpdPOVMVTwaZIucH,0.0976,0.548,0.655,0.838,0,6.06E-05,0.21,-7.065,0.0717,120.014,212960,happy
spotify:track:45FrYVS9BScbfO8lujdsW0,0.484,0.706,0.637,0.864,8,0,0.222,-4.381,0.0468,99.995,214720,happy
spotify:track:2EWpa5XnAuSn0sIkSSIhYk,0.142,0.718,0.649,0.718,0,0.0713,0.124,-6.593,0.0261,101.034,274093,happy
spotify:track:63YnmHKlutFFkgfFB0OcPU,0.149,0.441,0.416,0.696,3,0.000924,0.355,-9.783,0.0526,122.556,238427,happy
spotify:track:7vGhzPya4P2IHVG7WtZADZ,0.0386,0.451,0.57,0.858,2,0.00222,0.316,-4.732,0.042,107.985,199853,happy
spotify:track:7MUNNBJKYo3cdokp06wEOB,0.0964,0.489,0.728,0.673,5,6.94E-06,0.0695,-5.766,0.0318,127.995,214853,happy
spotify:track:33faLM9uNVtibuZIb37MOV,0.467,0.444,0.479,0.79,4,0.713,0.155,-7.775,0.0352,111.023,241707,happy
spotify:track:5HF5PRNJ8KGtbzNPPc93tG,0.104,0.289,0.52,0.655,3,0.00347,0.124,-6.516,0.0393,126.593,273853,happy
spotify:track:0W4sXm430e78yQCgcvEXwp,0.0594,0.404,0.522,0.746,8,0.00103,0.257,-6.999,0.0422,102.093,220333,happy
spotify:track:4brAByI9ZV7WOYDwT3yPaH,0.405,0.734,0.489,0.649,7,0,0.062,-6.041,0.0334,114.869,191635,happy
spotify:track:5AqNpVjueURnEaMDzIrUl8,0.00463,0.504,0.787,0.704,6,0.451,0.0543,-6.46,0.0499,121.009,194230,happy
spotify:track:2vcwh4UGbHy3gkhCEvBDMn,0.0694,0.641,0.749,0.699,5,0,0.124,-7.193,0.0469,123.965,211360,happy
spotify:track:5rRDCbF97rcJW0ES9RhPhC,0.371,0.544,0.655,0.686,7,1.13E-06,0.113,-5.701,0.028,112.974,186109,happy
spotify:track:0P3IyyiJecMoAX9Q4cbwHX,0.149,0.78,0.716,0.887,5,0.332,0.111,-7.738,0.0331,117.021,242000,happy
spotify:track:08XjENEbgIDSYVNFikaqYH,0.561,0.87,0.761,0.542,4,1.53E-06,0.258,-5.256,0.0269,81.975,189907,happy
spotify:track:5YVYVuNA44FT2yVxEXOw3r,0.326,0.385,0.703,0.549,0,0.00256,0.082,-9.731,0.0295,99.985,199743,happy
spotify:track:3e5Ee5GrNzSnCt2laIDm3S,0.188,0.243,0.519,0.494,6,0,0.159,-5.399,0.0263,99.909,192827,happy
spotify:track:7BgN5iMlbla6J4LpEDrFMn,0.245,0.41,0.602,0.771,3,0,0.107,-4.494,0.04,125.024,156360,happy
